"role","geschlecht","title","size_bytes","sitelinks","size_kb"
"Schauspieler_in","Weiblich","Marilyn Monroe",103156,239,100.73828125
"Schauspieler_in","Weiblich","Sarah Bernhardt",27161,193,26.5244140625
"Schauspieler_in","Weiblich","Madonna (Künstlerin)",163032,190,159.2109375
"Schauspieler_in","Weiblich","Selena Gomez",43604,174,42.58203125
"Schauspieler_in","Weiblich","Beyoncé",85505,173,83.5009765625
"Schauspieler_in","Weiblich","Angelina Jolie",83076,171,81.12890625
"Schauspieler_in","Weiblich","Anna Jurjewna Netrebko",47104,169,46
"Schauspieler_in","Weiblich","Shakira",41929,165,40.9462890625
"Schauspieler_in","Weiblich","Lana Del Rey",46311,159,45.2255859375
"Schauspieler_in","Weiblich","Rihanna",56146,156,54.830078125
"Schauspieler_in","Weiblich","Scarlett Johansson",38602,155,37.697265625
"Schauspieler_in","Weiblich","Brigitte Bardot",41594,151,40.619140625
"Schauspieler_in","Weiblich","Judy Garland",25664,150,25.0625
"Schauspieler_in","Weiblich","Anggun",11199,149,10.9365234375
"Schauspieler_in","Weiblich","Édith Piaf",32971,147,32.1982421875
"Schauspieler_in","Weiblich","Audrey Hepburn",35821,147,34.9814453125
"Schauspieler_in","Weiblich","Agnes Monica",4357,147,4.2548828125
"Schauspieler_in","Weiblich","Britney Spears",74844,145,73.08984375
"Schauspieler_in","Weiblich","Emma Watson",30898,143,30.173828125
"Schauspieler_in","Weiblich","Elizabeth Taylor",74627,142,72.8779296875
"Schauspieler_in","Weiblich","Miley Cyrus",65427,139,63.8935546875
"Schauspieler_in","Weiblich","Ariana Grande",50584,139,49.3984375
"Schauspieler_in","Weiblich","Avril Lavigne",42955,138,41.9482421875
"Schauspieler_in","Weiblich","Natalie Portman",31297,136,30.5634765625
"Schauspieler_in","Weiblich","Whitney Houston",34440,135,33.6328125
"Schauspieler_in","Weiblich","Oprah Winfrey",17220,134,16.81640625
"Schauspieler_in","Weiblich","Katy Perry",43619,132,42.5966796875
"Schauspieler_in","Weiblich","Meryl Streep",25589,131,24.9892578125
"Schauspieler_in","Weiblich","Nicole Kidman",27735,131,27.0849609375
"Schauspieler_in","Weiblich","Cate Blanchett",27024,131,26.390625
"Schauspieler_in","Weiblich","Julia Roberts",37947,130,37.0576171875
"Schauspieler_in","Weiblich","Christina Aguilera",30900,130,30.17578125
"Schauspieler_in","Weiblich","Sophia Loren",26889,130,26.2587890625
"Schauspieler_in","Weiblich","Gwyneth Paltrow",26513,129,25.8916015625
"Schauspieler_in","Weiblich","Sandra Bullock",41445,128,40.4736328125
"Schauspieler_in","Weiblich","Mariah Carey",79867,126,77.9951171875
